Cross Validation data sets
96957,Test group:3,Total correct:,0.8771929824561403,Bad correct:,15/26,Good correct:,135/145
98496,Test group:4,Total correct:,0.8596491228070176,Bad correct:,21/26,Good correct:,126/145
100035,Test group:5,Total correct:,0.8596491228070176,Bad correct:,21/26,Good correct:,126/145
101574,Test group:6,Total correct:,0.8947368421052632,Bad correct:,11/26,Good correct:,142/145
103113,Test group:7,Total correct:,0.9181286549707602,Bad correct:,15/26,Good correct:,142/145
104652,Test group:8,Total correct:,0.9005847953216374,Bad correct:,16/26,Good correct:,138/145
106191,Test group:9,Total correct:,0.935672514619883,Bad correct:,15/26,Good correct:,145/145
107730,Test group:10,Total correct:,0.9181286549707602,Bad correct:,15/26,Good correct:,142/145
109269,Test group:1,Total correct:,0.8888888888888888,Bad correct:,10/26,Good correct:,142/145
110808,Test group:2,Total correct:,0.9122807017543859,Bad correct:,16/26,Good correct:,140/145
112347,Test group:3,Total correct:,0.8771929824561403,Bad correct:,13/26,Good correct:,137/145
113886,Test group:4,Total correct:,0.8654970760233918,Bad correct:,14/26,Good correct:,134/145
115425,Test group:5,Total correct:,0.935672514619883,Bad correct:,15/26,Good correct:,145/145
116964,Test group:6,Total correct:,0.8947368421052632,Bad correct:,8/26,Good correct:,145/145
118503,Test group:7,Total correct:,0.9181286549707602,Bad correct:,15/26,Good correct:,142/145
120042,Test group:8,Total correct:,0.8830409356725146,Bad correct:,14/26,Good correct:,137/145
121581,Test group:9,Total correct:,0.9239766081871345,Bad correct:,15/26,Good correct:,143/145
123120,Test group:10,Total correct:,0.9005847953216374,Bad correct:,15/26,Good correct:,139/145
124659,Test group:1,Total correct:,0.8947368421052632,Bad correct:,13/26,Good correct:,140/145
126198,Test group:2,Total correct:,0.9122807017543859,Bad correct:,14/26,Good correct:,142/145
127737,Test group:3,Total correct:,0.8830409356725146,Bad correct:,13/26,Good correct:,138/145
129276,Test group:4,Total correct:,0.8596491228070176,Bad correct:,19/26,Good correct:,128/145
130815,Test group:5,Total correct:,0.9064327485380117,Bad correct:,10/26,Good correct:,145/145
132354,Test group:6,Total correct:,0.9298245614035088,Bad correct:,16/26,Good correct:,143/145
133893,Test group:7,Total correct:,0.9005847953216374,Bad correct:,10/26,Good correct:,144/145
135432,Test group:8,Total correct:,0.9239766081871345,Bad correct:,15/26,Good correct:,143/145
136971,Test group:9,Total correct:,0.9064327485380117,Bad correct:,18/26,Good correct:,137/145
138510,Test group:10,Total correct:,0.9064327485380117,Bad correct:,17/26,Good correct:,138/145
140049,Test group:1,Total correct:,0.8771929824561403,Bad correct:,9/26,Good correct:,141/145
141588,Test group:2,Total correct:,0.8771929824561403,Bad correct:,6/26,Good correct:,144/145
143127,Test group:3,Total correct:,0.8830409356725146,Bad correct:,10/26,Good correct:,141/145
144666,Test group:4,Total correct:,0.8713450292397661,Bad correct:,21/26,Good correct:,128/145
146205,Test group:5,Total correct:,0.9005847953216374,Bad correct:,15/26,Good correct:,139/145
147744,Test group:6,Total correct:,0.9122807017543859,Bad correct:,11/26,Good correct:,145/145
149283,Test group:7,Total correct:,0.9298245614035088,Bad correct:,14/26,Good correct:,145/145
150822,Test group:8,Total correct:,0.9064327485380117,Bad correct:,13/26,Good correct:,142/145
152361,Test group:9,Total correct:,0.9298245614035088,Bad correct:,17/26,Good correct:,142/145
153900,Test group:10,Total correct:,0.9239766081871345,Bad correct:,15/26,Good correct:,143/145
155439,Test group:1,Total correct:,0.9298245614035088,Bad correct:,18/26,Good correct:,141/145
156978,Test group:2,Total correct:,0.9181286549707602,Bad correct:,14/26,Good correct:,143/145
158517,Test group:3,Total correct:,0.9005847953216374,Bad correct:,11/26,Good correct:,143/145
160056,Test group:4,Total correct:,0.8771929824561403,Bad correct:,24/26,Good correct:,126/145
161595,Test group:5,Total correct:,0.9181286549707602,Bad correct:,12/26,Good correct:,145/145
163134,Test group:6,Total correct:,0.8888888888888888,Bad correct:,19/26,Good correct:,133/145
164673,Test group:7,Total correct:,0.7251461988304093,Bad correct:,18/26,Good correct:,106/145
166212,Test group:8,Total correct:,0.9298245614035088,Bad correct:,16/26,Good correct:,143/145
167751,Test group:9,Total correct:,0.8654970760233918,Bad correct:,18/26,Good correct:,130/145
169290,Test group:10,Total correct:,0.8654970760233918,Bad correct:,20/26,Good correct:,128/145
170829,Test group:1,Total correct:,0.9005847953216374,Bad correct:,16/26,Good correct:,138/145
172368,Test group:2,Total correct:,0.9122807017543859,Bad correct:,12/26,Good correct:,144/145
173907,Test group:3,Total correct:,0.8947368421052632,Bad correct:,14/26,Good correct:,139/145
175446,Test group:4,Total correct:,0.8830409356725146,Bad correct:,12/26,Good correct:,139/145
176985,Test group:5,Total correct:,0.8888888888888888,Bad correct:,21/26,Good correct:,131/145
178524,Test group:6,Total correct:,0.9415204678362573,Bad correct:,17/26,Good correct:,144/145
180063,Test group:7,Total correct:,0.9181286549707602,Bad correct:,15/26,Good correct:,142/145
181602,Test group:8,Total correct:,0.9298245614035088,Bad correct:,14/26,Good correct:,145/145
183141,Test group:9,Total correct:,0.935672514619883,Bad correct:,16/26,Good correct:,144/145
184680,Test group:10,Total correct:,0.9239766081871345,Bad correct:,17/26,Good correct:,141/145
186219,Test group:1,Total correct:,0.9181286549707602,Bad correct:,17/26,Good correct:,140/145
187758,Test group:2,Total correct:,0.935672514619883,Bad correct:,16/26,Good correct:,144/145
189297,Test group:3,Total correct:,0.9473684210526315,Bad correct:,18/26,Good correct:,144/145
190836,Test group:4,Total correct:,0.9473684210526315,Bad correct:,20/26,Good correct:,142/145
192375,Test group:5,Total correct:,0.847953216374269,Bad correct:,23/26,Good correct:,122/145
193914,Test group:6,Total correct:,0.8771929824561403,Bad correct:,14/26,Good correct:,136/145
195453,Test group:7,Total correct:,0.9298245614035088,Bad correct:,15/26,Good correct:,144/145
196992,Test group:8,Total correct:,0.9064327485380117,Bad correct:,17/26,Good correct:,138/145
198531,Test group:9,Total correct:,0.9239766081871345,Bad correct:,14/26,Good correct:,144/145
200070,Test group:10,Total correct:,0.9122807017543859,Bad correct:,19/26,Good correct:,137/145
201609,Test group:1,Total correct:,0.9239766081871345,Bad correct:,13/26,Good correct:,145/145
203148,Test group:2,Total correct:,0.9181286549707602,Bad correct:,13/26,Good correct:,144/145
204687,Test group:3,Total correct:,0.9122807017543859,Bad correct:,19/26,Good correct:,137/145
206226,Test group:4,Total correct:,0.9064327485380117,Bad correct:,12/26,Good correct:,143/145
207765,Test group:5,Total correct:,0.8830409356725146,Bad correct:,20/26,Good correct:,131/145
209304,Test group:6,Total correct:,0.9005847953216374,Bad correct:,9/26,Good correct:,145/145
210843,Test group:7,Total correct:,0.9473684210526315,Bad correct:,20/26,Good correct:,142/145
212382,Test group:8,Total correct:,0.9005847953216374,Bad correct:,16/26,Good correct:,138/145
213921,Test group:9,Total correct:,0.9122807017543859,Bad correct:,24/26,Good correct:,132/145
215460,Test group:10,Total correct:,0.9064327485380117,Bad correct:,17/26,Good correct:,138/145
216999,Test group:1,Total correct:,0.9005847953216374,Bad correct:,10/26,Good correct:,144/145
218538,Test group:2,Total correct:,0.9181286549707602,Bad correct:,16/26,Good correct:,141/145
220077,Test group:3,Total correct:,0.9064327485380117,Bad correct:,10/26,Good correct:,145/145
221616,Test group:4,Total correct:,0.8888888888888888,Bad correct:,9/26,Good correct:,143/145
223155,Test group:5,Total correct:,0.9298245614035088,Bad correct:,18/26,Good correct:,141/145
224694,Test group:6,Total correct:,0.9064327485380117,Bad correct:,13/26,Good correct:,142/145
226233,Test group:7,Total correct:,0.9239766081871345,Bad correct:,20/26,Good correct:,138/145
227772,Test group:8,Total correct:,0.9239766081871345,Bad correct:,16/26,Good correct:,142/145
229311,Test group:9,Total correct:,0.935672514619883,Bad correct:,15/26,Good correct:,145/145
230850,Test group:10,Total correct:,0.8947368421052632,Bad correct:,20/26,Good correct:,133/145
232389,Test group:1,Total correct:,0.9181286549707602,Bad correct:,13/26,Good correct:,144/145
233928,Test group:2,Total correct:,0.8830409356725146,Bad correct:,17/26,Good correct:,134/145
235467,Test group:3,Total correct:,0.9181286549707602,Bad correct:,12/26,Good correct:,145/145
237006,Test group:4,Total correct:,0.9064327485380117,Bad correct:,11/26,Good correct:,144/145
238545,Test group:5,Total correct:,0.9181286549707602,Bad correct:,17/26,Good correct:,140/145
240084,Test group:6,Total correct:,0.9239766081871345,Bad correct:,13/26,Good correct:,145/145
241623,Test group:7,Total correct:,0.9239766081871345,Bad correct:,19/26,Good correct:,139/145
243162,Test group:8,Total correct:,0.9298245614035088,Bad correct:,14/26,Good correct:,145/145
244701,Test group:9,Total correct:,0.9473684210526315,Bad correct:,18/26,Good correct:,144/145
246240,Test group:10,Total correct:,0.9181286549707602,Bad correct:,17/26,Good correct:,140/145
247779,Test group:1,Total correct:,0.9122807017543859,Bad correct:,13/26,Good correct:,143/145
249318,Test group:2,Total correct:,0.9181286549707602,Bad correct:,14/26,Good correct:,143/145
250857,Test group:3,Total correct:,0.9239766081871345,Bad correct:,14/26,Good correct:,144/145
252396,Test group:4,Total correct:,0.9122807017543859,Bad correct:,12/26,Good correct:,144/145
253935,Test group:5,Total correct:,0.935672514619883,Bad correct:,15/26,Good correct:,145/145
255474,Test group:6,Total correct:,0.9005847953216374,Bad correct:,14/26,Good correct:,140/145
257013,Test group:7,Total correct:,0.935672514619883,Bad correct:,16/26,Good correct:,144/145
258552,Test group:8,Total correct:,0.9064327485380117,Bad correct:,20/26,Good correct:,135/145
260091,Test group:9,Total correct:,0.9707602339181286,Bad correct:,24/26,Good correct:,142/145
261630,Test group:10,Total correct:,0.9005847953216374,Bad correct:,17/26,Good correct:,137/145
263169,Test group:1,Total correct:,0.8947368421052632,Bad correct:,12/26,Good correct:,141/145
264708,Test group:2,Total correct:,0.9181286549707602,Bad correct:,14/26,Good correct:,143/145
266247,Test group:3,Total correct:,0.9005847953216374,Bad correct:,18/26,Good correct:,136/145
267786,Test group:4,Total correct:,0.9122807017543859,Bad correct:,14/26,Good correct:,142/145
269325,Test group:5,Total correct:,0.935672514619883,Bad correct:,15/26,Good correct:,145/145
270864,Test group:6,Total correct:,0.9005847953216374,Bad correct:,9/26,Good correct:,145/145
272403,Test group:7,Total correct:,0.9122807017543859,Bad correct:,11/26,Good correct:,145/145
273942,Test group:8,Total correct:,0.9064327485380117,Bad correct:,18/26,Good correct:,137/145
275481,Test group:9,Total correct:,0.9298245614035088,Bad correct:,14/26,Good correct:,145/145
277020,Test group:10,Total correct:,0.9064327485380117,Bad correct:,19/26,Good correct:,136/145
278559,Test group:1,Total correct:,0.9181286549707602,Bad correct:,12/26,Good correct:,145/145
280098,Test group:2,Total correct:,0.9239766081871345,Bad correct:,14/26,Good correct:,144/145
281637,Test group:3,Total correct:,0.9005847953216374,Bad correct:,9/26,Good correct:,145/145
283176,Test group:4,Total correct:,0.9181286549707602,Bad correct:,14/26,Good correct:,143/145
284715,Test group:5,Total correct:,0.9532163742690059,Bad correct:,18/26,Good correct:,145/145
286254,Test group:6,Total correct:,0.8654970760233918,Bad correct:,16/26,Good correct:,132/145
